"Data generated on Wednesday, May 20, 2026 at 6:15:44 PM EST"
Area/Partners of Origin,,,,,January - December
And Consumption  Commodities Imported,,,,,Quantities
,,,,,,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,
,Partner,,HS Code,Product,UOM,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code,
"1","Mexico","1","0702002065","ROMA TOM 3/15-7/","MT","241,782.6","251,665.3","377,984.2","298,032.5","314,611.8","302,295.6","270,527.7","262,780.2","311,096.2","312,595.1","339,219.4","348,941.5","374,667.6","336,251.3","218,982.9","-35","US","MX","0702002065",
"1","Mexico","2","0702002066","ROMA TOM 3/15-7/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","143,369.5","","US","MX","0702002066",
"1","Mexico","3","0702002031","GRHS TM NS 3/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","51,750.2","124,412.7","140","US","MX","0702002031",
"1","Mexico","4","0702002015","GRHS TM ROMA 3/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","69,597.4","115,774.1","66","US","MX","0702002015",
"1","Mexico","5","0702006065","ROMA TOM 11/15-2","MT","141,001.2","156,039.5","176,794.9","186,610.7","177,219.5","158,310.0","154,519.0","148,138.8","178,609.3","180,462.2","191,361.0","195,818.2","190,842.0","218,251.1","112,971.5","-48","US","MX","0702006065",
"1","Mexico","6","0702002025","GRHS TM ROUND 3/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","77,230.9","107,601.1","39","US","MX","0702002025",
"1","Mexico","7","0702004066","ROMATM 7/15-8/31","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","91,518.9","","US","MX","0702004066",
"1","Mexico","8","0702006066","ROMA TOM 11/15-2","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","76,888.6","","US","MX","0702006066",
"1","Mexico","9","0702002042","GRHS TM NS 3/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","70,553.3","","US","MX","0702002042",
"1","Mexico","10","0702006015","GRHS TM ROMA 11/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","45,000.0","69,485.3","54","US","MX","0702006015",
"1","Mexico","11","0702006031","GRHS TM NS 11/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","45,523.6","64,834.4","42","US","MX","0702006031",
"1","Mexico","12","0702006025","GRHS TM ROUND 11","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","22,645.8","48,779.4","115","US","MX","0702006025",
"1","Mexico","13","0702002036","GRHS TM ROUND 3/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","43,670.3","","US","MX","0702002036",
"1","Mexico","14","0702002032","GRHS TM ROMA 3/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","41,549.3","","US","MX","0702002032",
"1","Mexico","15","0702002016","GRHS TM ROM ORG","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","38,708.2","","US","MX","0702002016",
"1","Mexico","16","0702002045","GRP TOM 3/1-7/14","MT","28,223.6","25,427.4","37,342.9","26,556.2","32,656.9","31,346.0","30,039.9","39,122.6","46,268.7","42,659.2","45,794.2","50,921.2","46,408.6","49,714.9","38,449.2","-23","US","MX","0702002045",
"1","Mexico","17","0702006032","GRHS TM NS 11/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","36,953.3","","US","MX","0702006032",
"1","Mexico","18","0702002026","GRHS TM NS 3/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","31,548.6","","US","MX","0702002026",
"1","Mexico","19","0702004032","GRHS TM NS 7/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","31,391.3","","US","MX","0702004032",
"1","Mexico","20","0702006023","GRHS TM ROMA 11/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","30,506.9","","US","MX","0702006023",
"1","Mexico","21","0702006027","GRHS TM ROUND 11","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","28,692.1","","US","MX","0702006027",
"1","Mexico","22","0702006045","GR TM 11/15-2/28","MT","21,709.5","21,311.4","27,926.2","23,876.1","27,258.0","25,029.2","29,987.4","29,393.3","29,630.4","29,488.7","33,483.6","36,701.2","30,690.6","34,294.9","26,164.8","-24","US","MX","0702006045",
"1","Mexico","23","0702004023","GRHS TM ROMA 7/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","24,713.1","","US","MX","0702004023",
"1","Mexico","24","0702004027","GRHS TM ROUND 7/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21,864.7","","US","MX","0702004027",
"1","Mexico","25","0702006019","GRHS TM ROUND 11","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","19,167.3","","US","MX","0702006019",
"1","Mexico","26","0702006021","GRHS TM NS 11/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18,522.6","","US","MX","0702006021",
"1","Mexico","27","0702004021","GRHS GR N ORG","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13,649.7","","US","MX","0702004021",
"1","Mexico","28","0702002080","TM ROUND NS 3/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16,918.3","13,411.7","-21","US","MX","0702002080",
"1","Mexico","29","0702006091","TM NS 11/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4,060.9","10,008.4","146","US","MX","0702006091",
"1","Mexico","30","0702006016","GRHS TM RORG 11/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9,737.2","","US","MX","0702006016",
"1","Mexico","31","0702002062","GRP TOM 3/1-7/14","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8,946.2","","US","MX","0702002062",
"1","Mexico","32","0702004047","GRP TM 7/15-8/31","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8,175.5","","US","MX","0702004047",
"1","Mexico","33","0702006046","GR TM 11/15-2/28","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7,875.7","","US","MX","0702006046",
"1","Mexico","34","0702006080","TM ROUND NS 11/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8,403.2","7,335.2","-13","US","MX","0702006080",
"1","Mexico","35","0702004016","GRHS ORG 7-8","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5,969.7","","US","MX","0702004016",
"1","Mexico","36","0702006092","TM NS 11/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5,618.9","","US","MX","0702006092",
"1","Mexico","37","0702006081","TM ROUND NS 11/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5,305.0","","US","MX","0702006081",
"1","Mexico","38","0702002035","CHRRY TOM 3/15-7","MT","13,434.0","12,273.7","10,483.0","11,530.3","8,202.8","8,651.5","7,634.4","8,656.5","9,388.0","6,143.9","8,621.9","9,968.8","7,829.4","8,400.5","4,422.4","-47","US","MX","0702002035",
"1","Mexico","39","0702002091","TM NS 3/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2,857.4","4,309.9","51","US","MX","0702002091",
"1","Mexico","40","0702002081","TM ROUND NS 3/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4,259.9","","US","MX","0702002081",
"1","Mexico","41","0702002019","GRHS TM ROUND 3/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4,128.4","","US","MX","0702002019",
"1","Mexico","42","0702006035","CHRRY TOM 11/15-","MT","8,287.4","6,989.7","6,074.6","7,501.5","5,363.8","5,011.7","5,466.8","5,007.2","5,231.9","4,671.1","4,965.4","5,131.9","3,768.5","6,229.0","3,128.6","-50","US","MX","0702006035",
"1","Mexico","43","0702004081","TM ROUND NS 7/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2,711.2","","US","MX","0702004081",
"1","Mexico","44","0702002092","TM NS 3/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2,025.9","","US","MX","0702002092",
"1","Mexico","45","0702002052","CHRRY TOM 3/15-7","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,843.1","","US","MX","0702002052",
"1","Mexico","46","0702004041","CHRY TM7/15-8/31","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,419.0","","US","MX","0702004041",
"1","Mexico","47","0702006036","TOM ORG OTR","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,415.4","","US","MX","0702006036",
"1","Mexico","48","0702004019","GRHS CH N ORG","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,179.7","","US","MX","0702004019",
"1","Mexico","49","0702006039","CHRRY TOM 11/15-","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","953.9","","US","MX","0702006039",
"1","Mexico","50","0702004092","TM NS 7/","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","870.6","","US","MX","0702004092",
"1","Mexico","51","0702002046","TM ORG 3/1-7/15","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","285.3","","US","MX","0702002046",
"1","Mexico","52","0702004037","TOM ORG7/15-8/31","MT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","107.6","","US","MX","0702004037",
"1","Mexico","53","0702002010","GREENHOUS TOM 3/","MT","169,632.4","209,342.4","261,979.6","283,582.5","333,671.3","373,848.4","435,357.3","430,161.8","508,811.9","474,897.2","496,314.4","475,527.0","463,251.8","328,665.4","0.0","","US","MX","0702002010",
"1","Mexico","54","0702002099","TOM, NS 3/1-7/14","MT","106,360.3","84,545.0","132,176.4","87,845.8","74,913.0","77,280.7","51,680.7","63,356.5","77,011.0","76,204.4","65,743.5","50,543.4","43,747.2","29,183.6","0.0","","US","MX","0702002099",
