Date,Region,Class,Commodity,Variety,Organic,Environment,Unit,Number of Stores,Weighted Avg Price,Low Price,High Price,% Marked Local
10/02/2009,NATIONAL,VEGETABLES,TOMATOES,,,,per pound,"1,391",1.37,,,
10/02/2009,NATIONAL,VEGETABLES,TOMATOES,,Y,,per pound,76,2.99,,,
10/02/2009,NATIONAL,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,"6,219",1.78,,,
10/02/2009,NATIONAL,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,"2,199",2.22,,,
10/02/2009,NATIONAL,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,"1,052",2.89,,,
10/02/2009,NORTHEAST U.S.,VEGETABLES,TOMATOES,,,,per pound,232,1.12,0.98,1.99,
10/02/2009,NORTHEAST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,960,2.16,1.48,2.99,
10/02/2009,NORTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,"1,322",2.23,1.5,2.5,
10/02/2009,NORTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,869,2.99,2.99,2.99,
10/02/2009,SOUTHEAST U.S.,VEGETABLES,TOMATOES,,,,per pound,529,1.6,1,1.69,
10/02/2009,SOUTHEAST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,"2,670",1.86,0.98,2.99,
10/02/2009,SOUTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,457,2.35,1.79,2.99,
10/02/2009,SOUTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,65,2.19,2.19,2.19,
10/02/2009,MIDWEST U.S.,VEGETABLES,TOMATOES,,,,per pound,20,1.69,1.69,1.69,
10/02/2009,MIDWEST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,871,1.49,0.99,2.5,
10/02/2009,MIDWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,152,2.21,1.5,2.5,
10/02/2009,SOUTH CENTRAL U.S.,VEGETABLES,TOMATOES,,,,per pound,274,0.97,0.58,1.69,
10/02/2009,SOUTH CENTRAL U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,510,1.59,0.79,2.5,
10/02/2009,SOUTH CENTRAL U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,46,1.59,1.5,1.79,
10/02/2009,SOUTHWEST U.S.,VEGETABLES,TOMATOES,,,,per pound,275,1.61,0.49,1.99,
10/02/2009,SOUTHWEST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,"1,089",1.63,0.88,2.49,
10/02/2009,SOUTHWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,160,1.99,1.99,2,
10/02/2009,NORTHWEST U.S.,VEGETABLES,TOMATOES,,,,per pound,61,0.87,0.58,1.17,
10/02/2009,NORTHWEST U.S.,VEGETABLES,TOMATOES,,Y,,per pound,76,2.99,2.99,2.99,
10/02/2009,NORTHWEST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,119,1.18,0.78,1.49,
10/02/2009,NORTHWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,62,1.99,1.99,2,
10/02/2009,NORTHWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,118,2.5,2.5,2.5,
10/09/2009,NATIONAL,VEGETABLES,TOMATOES,,,,per pound,"1,504",1.39,,,
10/09/2009,NATIONAL,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,"4,124",1.76,,,
